,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
77,Gabon,1971,0.025511135,0.129,0.065,0.204672483,0.779,10.606,0.626595742,3261.067167,0.47694185,0,3.887662909,0
78,Ghana,1971,0.133880931,0.185,0.063,0.16140298,0.21,15.264,2.522380844,0.6642863,1.951280171,0,2.52304513,0
79,Kenya,1971,0.580379826,0.281,0.112,1.488343337,0.272,14.262,4.222760271,1.6108205,3.115170504,0,4.224371092,0.204709715
80,Libya,1971,0.271056562,0.069,0.025,0.0093345,2.643,78.697,5.239427746,113070.4296,1.633862871,3.570249275,118.3098573,0
81,Madagascar,1971,0.018446928,0.123,0.037,0.273018219,0.104,12.465,1.086274837,0,0.724749897,0,1.086274837,0
82,Mauritius,1971,0.06696688,0.198,0.095,0.054253801,0.312,17.137,0.292688037,..,0.264050174,0,..,0
83,Morocco,1971,0.350567388,0.358,0.147,0.242398461,0.42,53.176,6.88647954,25.438185,5.34883085,0.101533431,6.911917725,1.204949895
84,Mozambique,1971,0.117989151,0.913,0.417,0.764150621,0.34,10.101,4.465903424,62.6960338,1.469116086,0,4.528599458,1.491099892
85,Namibia,1971,..,..,..,..,..,..,..,0,..,..,..,..
86,Niger,1971,0,0.051,0.021,0,0.038,6.089,0.42282071,0,0.186693824,0,0.42282071,0
87,Nigeria,1971,0.245333505,0.055,0.028,0.015557392,0.1,4.104,16.59224261,63708.48256,4.86113775,0.40487025,80.30072517,0.520855972
88,Rwanda,1971,0.003075586,0.048,0.02,0,0.015,0.329,0.814048081,0,0.062017461,0,0.814048081,0
89,Senegal,1971,0.302786688,0.26,0.107,3.017021164,0.27,23.381,1.392296754,1.2636043,1.231316225,0,1.393560358,0
90,South Africa,1971,0.53430681,1.317,0.601,10.92203575,6.822,82.602,160.4782922,7674.634258,28.32138754,0,168.1529264,130.6829035
91,South Sudan,1971,..,..,..,..,..,..,..,0,..,..,..,..
92,Sudan,1971,0.339995575,0.163,0.08,0,0.213,10.922,4.03588118,1.5945495,3.25892776,0,4.037475729,0
